cons_model,mut_model,chrom,Ne,ll
split_cds,gnomad,18,25921.875,-11426093919.188168
split_cds,gnomad,19,25148.4375,-7010535827.503333
split_cds,gnomad,20,24796.875,-8788356768.03544
split_cds,gnomad,21,28810.546875,-5502668379.568554
split_cds,gnomad,22,25101.5625,-4771003215.493104
split_cds,carlson,1,18375.0,-27620176966.490025
split_cds,carlson,2,18468.75,-30811584919.997498
split_cds,carlson,3,19125.0,-26022085856.04989
split_cds,carlson,4,19921.875,-26704296508.37816
split_cds,carlson,5,19125.0,-23720158045.766285
split_cds,carlson,6,19687.5,-22583710024.115772
split_cds,carlson,7,19453.125,-19682095651.473427
split_cds,carlson,8,19781.25,-19786532651.44709
split_cds,carlson,9,19734.375,-14266713271.716122
split_cds,carlson,10,19921.875,-17105640289.579063
split_cds,carlson,11,19828.125,-17156429515.405083
split_cds,carlson,12,18515.625,-15969071024.112444
split_cds,carlson,13,18890.625,-12720314582.91529
split_cds,carlson,14,18656.25,-10567868298.978832
split_cds,carlson,15,19546.875,-9484902378.47103
split_cds,carlson,16,21890.625,-9596998202.681911
split_cds,carlson,17,18281.25,-7751899367.187426
split_cds,carlson,18,18984.375,-9523788470.748936
split_cds,carlson,19,21000.0,-4778350326.891126
split_cds,carlson,20,19078.125,-6968607347.084239
split_cds,carlson,21,21937.5,-3883916250.281107
split_cds,carlson,22,19687.5,-3151727072.8443847
merged_cds_regulatory,roulette,1,25218.75,-29707442412.557117
merged_cds_regulatory,roulette,2,24609.375,-33063433014.022293
merged_cds_regulatory,roulette,3,25781.25,-28215391917.862
merged_cds_regulatory,roulette,4,26671.875,-28591071751.568264
merged_cds_regulatory,roulette,5,25617.1875,-25598037380.349384
merged_cds_regulatory,roulette,6,26953.125,-24879957194.883675
merged_cds_regulatory,roulette,7,26132.8125,-21909533383.32258
merged_cds_regulatory,roulette,8,25781.25,-22091355499.26073
merged_cds_regulatory,roulette,9,25851.5625,-16492080856.527908
merged_cds_regulatory,roulette,10,26542.96875,-19302533006.232086
merged_cds_regulatory,roulette,11,26378.90625,-19014032546.44572
merged_cds_regulatory,roulette,12,25312.5,-17866771098.484497
merged_cds_regulatory,roulette,13,25921.875,-14556541006.761486
merged_cds_regulatory,roulette,14,25500.0,-12384198649.180904
merged_cds_regulatory,roulette,15,26214.84375,-11047369642.440145
merged_cds_regulatory,roulette,16,26144.53125,-11515201181.706848
merged_cds_regulatory,roulette,17,24984.375,-9537720729.730495
merged_cds_regulatory,roulette,18,26015.625,-11405811026.007498
merged_cds_regulatory,roulette,19,27316.40625,-6978753995.786437
merged_cds_regulatory,roulette,20,25816.40625,-8764961930.814842
merged_cds_regulatory,roulette,21,28769.53125,-5490316028.779453
merged_cds_regulatory,roulette,22,26671.875,-4753526169.007434
merged_cds_regulatory,gnomad,1,25851.5625,-29756004006.418755
merged_cds_regulatory,gnomad,2,25968.75,-33131040830.17305
merged_cds_regulatory,gnomad,3,27292.96875,-28282500432.78698
merged_cds_regulatory,gnomad,4,28429.6875,-28641783066.819458
merged_cds_regulatory,gnomad,5,27152.34375,-25652623900.552948
merged_cds_regulatory,gnomad,6,28007.8125,-24911688894.84337
merged_cds_regulatory,gnomad,7,27609.375,-21968141053.562477
merged_cds_regulatory,gnomad,8,28687.5,-22204056194.062393
merged_cds_regulatory,gnomad,9,28171.875,-16542723089.318684
merged_cds_regulatory,gnomad,10,27703.125,-19333124756.88578
merged_cds_regulatory,gnomad,11,27808.59375,-19047007245.141163
merged_cds_regulatory,gnomad,12,26132.8125,-17894882242.977253
merged_cds_regulatory,gnomad,13,27199.21875,-14574097954.10468
merged_cds_regulatory,gnomad,14,26472.65625,-12408003699.777512
merged_cds_regulatory,gnomad,15,27398.4375,-11067150411.972645
merged_cds_regulatory,gnomad,16,30164.0625,-11581571904.842785
merged_cds_regulatory,gnomad,17,25265.625,-9557839137.944395
merged_cds_regulatory,gnomad,18,27175.78125,-11419285514.07648
merged_cds_regulatory,gnomad,19,27703.125,-6999060562.129549
merged_cds_regulatory,gnomad,20,26472.65625,-8780229990.349264
merged_cds_regulatory,gnomad,21,30234.375,-5498628028.23938
merged_cds_regulatory,gnomad,22,27386.71875,-4761958859.384622
merged_cds_regulatory,carlson,1,20015.625,-27605954548.525455
merged_cds_regulatory,carlson,2,19781.25,-30796000448.437733
