cons_model,mut_model,chrom,"R^2_B,pi_10kb","R^2_Epi,pi_10kb","R^2_B,pi_100kb","R^2_Epi,pi_100kb","R^2_B,pi_1Mb","R^2_Epi,pi_1Mb"
merged_cds_regulatory,carlson,1,0.09972922971873446,0.10119415063677942,0.21512361291685456,0.21608842745705442,0.29297817276590216,0.3193878198065189
merged_cds_regulatory,carlson,2,0.10679336768745104,0.08920681867960699,0.22800847630380544,0.19482690539272504,0.3519663739332276,0.29202944938938885
merged_cds_regulatory,carlson,3,0.08067284993021193,0.0843359463753419,0.19505288640930504,0.20052096993076693,0.3758988780743134,0.3749089107836826
merged_cds_regulatory,carlson,4,0.08107636874665827,0.07892310736115203,0.16967250140225051,0.16496139978111118,0.22779239516230604,0.24169899823852614
merged_cds_regulatory,carlson,5,0.08392527539612225,0.07563915713815346,0.18824632525759574,0.16592171016201493,0.3009241609439114,0.25687250576923654
merged_cds_regulatory,carlson,6,0.05571679897248699,0.06975133005829741,0.1271321550983425,0.1525642869961973,0.14677973951025644,0.21391219751707174
merged_cds_regulatory,carlson,7,0.14477588913560835,0.14560371464799488,0.27977418046235786,0.30291682158814315,0.44341900356549774,0.4993303329893291
merged_cds_regulatory,carlson,8,0.1586632212476817,0.13810044735967514,0.2864855917928902,0.2672602075112808,0.42153060000188003,0.3854776121194679
merged_cds_regulatory,carlson,9,0.14012792550574854,0.13111735527667182,0.2959312142936177,0.2771891955986019,0.46091923100413856,0.4240822750959663
merged_cds_regulatory,carlson,10,0.12116366565531206,0.11380536936853351,0.27851575175129856,0.26508843402511273,0.5026478609244969,0.4849449705906786
merged_cds_regulatory,carlson,11,0.10463327321259358,0.10852822288526685,0.25579608581938396,0.2635826098331474,0.35764975727329634,0.36361639262512174
merged_cds_regulatory,carlson,12,0.08400834028578193,0.08743010935697597,0.2094795602757884,0.21085789566755092,0.28511322785993937,0.28481442603798957
merged_cds_regulatory,carlson,13,0.08278946761126772,0.06641692566904946,0.16919293753434814,0.13583294313501648,0.24522298523590028,0.1640144460546599
merged_cds_regulatory,carlson,14,0.07137857633138832,0.06481551887970714,0.16120469300218232,0.1437771691138461,0.2667582164949868,0.23495034090443684
merged_cds_regulatory,carlson,15,0.16017706090506706,0.18213053471667803,0.3639403524030315,0.40298169688967034,0.5660430403182625,0.6182460245619127
merged_cds_regulatory,carlson,16,0.16263375415450307,0.1855042267644415,0.3064609853112463,0.3504606164776106,0.40617692196353566,0.4764038895215409
merged_cds_regulatory,carlson,17,0.1888384104859541,0.21037654501768846,0.37146149145723256,0.41541005531035397,0.5280315049992516,0.6074837134951028
